,id,Player,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,TD/G
0,AbduAm00,Ameer Abdullah,22,RB,16,9,38.0,25,65.8%,183,7.3,1,36,4.8,1.6,11.4,5.0,0.1
1,AbduAm00,Ameer Abdullah,23,RB,2,2,5.0,5,100.0%,57,11.4,1,18,11.4,2.5,28.5,0.0,0.5
2,AbduAm00,Ameer Abdullah,24,RB,14,11,35.0,25,71.4%,162,6.5,1,22,4.6,1.8,11.6,2.0,0.1
3,AbduAm00,Ameer Abdullah,25,RB,10,0,4.0,3,75.0%,28,9.3,0,12,7.0,0.3,2.8,1.0,0.0
4,AbduAm00,Ameer Abdullah,26,RB,16,0,21.0,15,71.4%,88,5.9,1,16,4.2,0.9,5.5,1.0,0.1
5,AbduAm00,Ameer Abdullah,27,RB,16,0,9.0,8,88.9%,58,7.3,2,22,6.4,0.5,3.6,0.0,0.1
6,AbduAm00,Ameer Abdullah,28,RB,17,1,53.0,38,71.7%,289,7.6,1,23,5.5,2.2,17.0,0.0,0.1
7,AdamDa01,Davante Adams,22,WR,16,11,66.0,38,57.6%,446,11.7,3,45,6.8,2.4,27.9,0.0,0.2
8,AdamDa01,Davante Adams,23,WR,13,12,94.0,50,53.2%,483,9.7,1,40,5.1,3.8,37.2,0.0,0.1
9,AdamDa01,Davante Adams,24,WR,16,15,121.0,75,62.0%,997,13.3,12,66,8.2,4.7,62.3,2.0,0.8
10,AdamDa01,Davante Adams*,25,WR,14,14,117.0,74,63.2%,885,12.0,10,55,7.6,5.3,63.2,0.0,0.7
11,AdamDa01,Davante Adams*,26,WR,15,15,169.0,111,65.7%,1386,12.5,13,57,8.2,7.4,92.4,0.0,0.9
12,AdamDa01,Davante Adams*,27,WR,12,12,127.0,83,65.4%,997,12.0,5,58,7.9,6.9,83.1,2.0,0.4
13,AdamDa01,Davante Adams*+,28,WR,14,14,149.0,115,77.2%,1374,11.9,18,56,9.2,8.2,98.1,1.0,1.3
14,AdamDa01,Davante Adams*+,29,WR,16,16,169.0,123,72.8%,1553,12.6,11,59,9.2,7.7,97.1,0.0,0.7
15,AghoNe00,Nelson Agholor,22,WR,13,12,44.0,23,52.3%,283,12.3,1,53,6.4,1.8,21.8,1.0,0.1
16,AghoNe00,Nelson Agholor,23,WR,15,14,69.0,36,52.2%,365,10.1,2,40,5.3,2.4,24.3,1.0,0.1
17,AghoNe00,Nelson Agholor,24,WR,16,10,95.0,62,65.3%,768,12.4,8,72,8.1,3.9,48.0,0.0,0.5
18,AghoNe00,Nelson Agholor,25,WR,16,16,97.0,64,66.0%,736,11.5,4,83,7.6,4.0,46.0,1.0,0.2
19,AghoNe00,Nelson Agholor,26,WR,11,10,69.0,39,56.5%,363,9.3,3,43,5.3,3.5,33.0,2.0,0.3
20,AghoNe00,Nelson Agholor,27,WR,16,13,82.0,48,58.5%,896,18.7,8,85,10.9,3.0,56.0,0.0,0.5
21,AghoNe00,Nelson Agholor,28,WR,15,13,64.0,37,57.8%,473,12.8,3,44,7.4,2.5,31.5,0.0,0.2
22,AgneJa00,Jamal Agnew,25,WR,14,2,20.0,13,65.0%,89,6.8,0,20,4.5,0.9,6.4,2.0,0.0
23,AgneJa00,Jamal Agnew,26,WR,10,2,39.0,24,61.5%,229,9.5,1,29,5.9,2.4,22.9,1.0,0.1
24,AiyuBr00,Brandon Aiyuk,22,WR,12,11,96.0,60,62.5%,748,12.5,5,49,7.8,5.0,62.3,0.0,0.4
25,AiyuBr00,Brandon Aiyuk,23,WR,17,16,84.0,56,66.7%,826,14.8,5,43,9.8,3.3,48.6,2.0,0.3
26,AkerCa00,Cam Akers,21,RB,13,5,14.0,11,78.6%,123,11.2,1,38,8.8,0.8,9.5,1.0,0.1
27,AkerCa00,Cam Akers,22,RB,1,0,3.0,3,100.0%,10,3.3,0,6,3.3,3.0,10.0,0.0,0.0
28,AkinJo00,Jordan Akins,26,TE,16,6,25.0,17,68.0%,225,13.2,0,28,9.0,1.1,14.1,0.0,0.0
29,AkinJo00,Jordan Akins,27,TE,16,9,55.0,36,65.5%,418,11.6,2,53,7.6,2.3,26.1,0.0,0.1
30,AkinJo00,Jordan Akins,28,TE,13,5,49.0,37,75.5%,403,10.9,1,26,8.2,2.8,31.0,0.0,0.1
31,AkinJo00,Jordan Akins,29,TE,13,3,33.0,24,72.7%,214,8.9,0,31,6.5,1.8,16.5,2.0,0.0
32,AlieMo00,Mo Alie-Cox,25,TE,9,1,13.0,7,53.8%,133,19.0,2,34,10.2,0.8,14.8,0.0,0.2
33,AlieMo00,Mo Alie-Cox,26,TE,16,2,11.0,8,72.7%,93,11.6,0,21,8.5,0.5,5.8,0.0,0.0
34,AlieMo00,Mo Alie-Cox,27,TE,15,6,39.0,31,79.5%,394,12.7,2,45,10.1,2.1,26.3,1.0,0.1
35,AlieMo00,Mo Alie-Cox,28,TE,17,7,45.0,24,53.3%,316,13.2,4,37,7.0,1.4,18.6,1.0,0.2
36,AlleKe00,Keenan Allen,21,WR,15,14,105.0,71,67.6%,1046,14.7,8,43,10.0,4.7,69.7,2.0,0.5
37,AlleKe00,Keenan Allen,22,WR,14,14,121.0,77,63.6%,783,10.2,4,35,6.5,5.5,55.9,2.0,0.3
38,AlleKe00,Keenan Allen,23,WR,8,8,89.0,67,75.3%,725,10.8,4,38,8.1,8.4,90.6,1.0,0.5
39,AlleKe00,Keenan Allen,24,WR,1,1,7.0,6,85.7%,63,10.5,0,15,9.0,6.0,63.0,0.0,0.0
40,AlleKe00,Keenan Allen*,25,WR,16,15,159.0,102,64.2%,1393,13.7,6,51,8.8,6.4,87.1,1.0,0.4
41,AlleKe00,Keenan Allen*,26,WR,16,14,136.0,97,71.3%,1196,12.3,6,54,8.8,6.1,74.8,3.0,0.4
42,AlleKe00,Keenan Allen*,27,WR,16,16,149.0,104,69.8%,1199,11.5,6,45,8.0,6.5,74.9,0.0,0.4
43,AlleKe00,Keenan Allen*,28,WR,14,13,147.0,100,68.0%,992,9.9,8,28,6.7,7.1,70.9,3.0,0.6
44,AlleKe00,Keenan Allen*,29,WR,16,16,157.0,106,67.5%,1138,10.7,6,42,7.2,6.6,71.1,1.0,0.4
45,AndeRo04,Robbie Anderson,23,WR,16,8,78.0,42,53.8%,587,14.0,2,52,7.5,2.6,36.7,1.0,0.1
46,AndeRo04,Robbie Anderson,24,WR,16,15,114.0,63,55.3%,941,14.9,7,69,8.3,3.9,58.8,0.0,0.4
47,AndeRo04,Robbie Anderson,25,WR,14,9,94.0,50,53.2%,752,15.0,6,76,8.0,3.6,53.7,2.0,0.4
48,AndeRo04,Robbie Anderson,26,WR,16,15,96.0,52,54.2%,779,15.0,5,92,8.1,3.3,48.7,1.0,0.3
49,AndeRo04,Robbie Anderson,27,WR,16,16,136.0,95,69.9%,1096,11.5,3,75,8.1,5.9,68.5,1.0,0.2
50,AndeRo04,Robbie Anderson,28,WR,17,16,110.0,53,48.2%,519,9.8,5,57,4.7,3.1,30.5,0.0,0.3
51,AndeSt01,Stephen Anderson,23,TE,13,0,16.0,11,68.8%,93,8.5,1,14,5.8,0.8,7.2,0.0,0.1
52,AndeSt01,Stephen Anderson,24,TE,15,5,52.0,25,48.1%,342,13.7,1,42,6.6,1.7,22.8,0.0,0.1
53,AndeSt01,Stephen Anderson,27,TE,16,3,11.0,8,72.7%,106,13.3,0,23,9.6,0.5,6.6,0.0,0.0
54,AndeSt01,Stephen Anderson,28,TE,17,4,19.0,16,84.2%,165,10.3,1,34,8.7,0.9,9.7,0.0,0.1
55,AndrMa00,Mark Andrews,23,TE,16,3,50.0,34,68.0%,552,16.2,3,74,11.0,2.1,34.5,0.0,0.2
56,AndrMa00,Mark Andrews*,24,TE,15,4,98.0,64,65.3%,852,13.3,10,51,8.7,4.3,56.8,2.0,0.7
57,AndrMa00,Mark Andrews,25,TE,14,2,88.0,58,65.9%,701,12.1,7,39,8.0,4.1,50.1,2.0,0.5
58,AndrMa00,Mark Andrews*+,26,TE,17,9,153.0,107,69.9%,1361,12.7,9,43,8.9,6.3,80.1,1.0,0.5
59,ArnoDa00,Dan Arnold,23,WR,10,1,19.0,12,63.2%,150,12.5,1,25,7.9,1.2,15.0,1.0,0.1
60,ArnoDa00,Dan Arnold,24,WR,5,1,14.0,8,57.1%,127,15.9,2,37,9.1,1.6,25.4,0.0,0.4
61,ArnoDa00,Dan Arnold,25,TE,16,5,45.0,31,68.9%,438,14.1,4,59,9.7,1.9,27.4,2.0,0.2
62,ArnoDa00,Dan Arnold,26,WR,11,4,52.0,35,67.3%,408,11.7,0,28,7.8,3.2,37.1,1.0,0.0
63,AsiaDe00,Devin Asiasi,23,TE,9,3,7.0,2,28.6%,39,19.5,1,26,5.6,0.2,4.3,0.0,0.1
64,BarkSa00,Saquon Barkley*,21,RB,16,16,121.0,91,75.2%,721,7.9,4,57,6.0,5.7,45.1,0.0,0.2
65,BarkSa00,Saquon Barkley,22,RB,13,13,73.0,52,71.2%,438,8.4,2,65,6.0,4.0,33.7,1.0,0.2
66,BarkSa00,Saquon Barkley,23,RB,2,2,9.0,6,66.7%,60,10.0,0,38,6.7,3.0,30.0,0.0,0.0
67,BarkSa00,Saquon Barkley,24,RB,13,13,57.0,41,71.9%,263,6.4,2,54,4.6,3.2,20.2,2.0,0.2
68,BateJo00,John Bates,24,TE,17,8,25.0,20,80.0%,249,12.5,1,32,10.0,1.2,14.6,1.0,0.1
69,BateRa00,Rashod Bateman,22,WR,12,4,68.0,46,67.6%,515,11.2,1,36,7.6,3.8,42.9,0.0,0.1
70,BeasCo00,Cole Beasley,23,WR,10,0,24.0,15,62.5%,128,8.5,0,20,5.3,1.5,12.8,0.0,0.0
71,BeasCo00,Cole Beasley,24,WR,14,3,54.0,39,72.2%,368,9.4,2,23,6.8,2.8,26.3,1.0,0.1
72,BeasCo00,Cole Beasley,25,WR,16,2,49.0,37,75.5%,420,11.4,4,45,8.6,2.3,26.3,2.0,0.2
73,BeasCo00,Cole Beasley,26,WR,16,3,75.0,52,69.3%,536,10.3,5,30,7.1,3.3,33.5,2.0,0.3
74,BeasCo00,Cole Beasley,27,WR,16,6,98.0,75,76.5%,833,11.1,5,47,8.5,4.7,52.1,0.0,0.3
75,BeasCo00,Cole Beasley,28,WR,15,4,63.0,36,57.1%,314,8.7,4,54,5.0,2.4,20.9,0.0,0.3
76,BeasCo00,Cole Beasley,29,WR,16,4,87.0,65,74.7%,672,10.3,3,32,7.7,4.1,42.0,0.0,0.2
77,BeasCo00,Cole Beasley,30,WR,15,10,106.0,67,63.2%,778,11.6,6,51,7.3,4.5,51.9,0.0,0.4
78,BeasCo00,Cole Beasley,31,WR,15,10,107.0,82,76.6%,967,11.8,4,35,9.0,5.5,64.5,0.0,0.3
79,BeasCo00,Cole Beasley,32,WR,16,8,112.0,82,73.2%,693,8.5,1,29,6.2,5.1,43.3,1.0,0.1
80,BenjEn00,Eno Benjamin,22,RB,9,0,7.0,6,85.7%,42,7.0,0,12,6.0,0.7,4.7,0.0,0.0
81,BerrBr00,Braxton Berrios,24,WR,16,0,13.0,6,46.2%,115,19.2,0,69,8.8,0.4,7.2,1.0,0.0
82,BerrBr00,Braxton Berrios,25,WR,16,2,55.0,37,67.3%,394,10.6,3,43,7.2,2.3,24.6,0.0,0.2
83,BerrBr00,Braxton Berrios+,26,WR,16,1,65.0,46,70.8%,431,9.4,2,46,6.6,2.9,26.9,1.0,0.1
84,BlanKe01,Kendall Blanton,26,TE,11,2,7.0,4,57.1%,37,9.3,0,23,5.3,0.4,3.4,1.0,0.0
85,BoldBr00,Brandon Bolden,22,RB,10,0,2.0,2,100.0%,11,5.5,0,11,5.5,0.2,1.1,0.0,0.0
86,BoldBr00,Brandon Bolden,23,RB,12,2,29.0,21,72.4%,152,7.2,0,18,5.2,1.8,12.7,0.0,0.0
87,BoldBr00,Brandon Bolden,24,RB,16,2,6.0,2,33.3%,8,4.0,0,4,1.3,0.1,0.5,0.0,0.0
88,BoldBr00,Brandon Bolden,25,RB,15,2,30.0,19,63.3%,180,9.5,2,63,6.0,1.3,12.0,0.0,0.1
89,BoldBr00,Brandon Bolden,26,RB,14,0,4.0,2,50.0%,15,7.5,0,13,3.8,0.1,1.1,0.0,0.0
90,BoldBr00,Brandon Bolden,27,RB,16,0,4.0,1,25.0%,7,7.0,0,7,1.8,0.1,0.4,0.0,0.0
91,BoldBr00,Brandon Bolden,28,RB,16,0,3.0,3,100.0%,13,4.3,1,9,4.3,0.2,0.8,1.0,0.1
92,BoldBr00,Brandon Bolden,29,RB,15,2,11.0,9,81.8%,111,12.3,1,29,10.1,0.6,7.4,0.0,0.1
93,BoldBr00,Brandon Bolden,31,RB,17,1,49.0,41,83.7%,405,9.9,2,28,8.3,2.4,23.8,1.0,0.1
94,BoonMi00,Mike Boone,23,RB,8,0,3.0,2,66.7%,1,0.5,0,1,0.3,0.3,0.1,0.0,0.0
95,BoonMi00,Mike Boone,24,RB,16,2,4.0,3,75.0%,17,5.7,0,7,4.3,0.2,1.1,0.0,0.0
96,BoonMi00,Mike Boone,25,RB,16,0,2.0,2,100.0%,10,5.0,0,6,5.0,0.1,0.6,0.0,0.0
