Player,Tm,Pos,id
Tyreek Hill,MIA,WR,HillTy00
Stefon Diggs,BUF,WR,DiggSt00
Justin Jefferson,MIN,WR,JeffJu00
Austin Ekeler,LAC,RB,EkelAu00
Cooper Kupp,LAR,WR,KuppCo00
Michael Pittman Jr.,IND,WR,PittMi01
Travis Kelce,KAN,TE,KelcTr00
Davante Adams,LVR,WR,AdamDa01
Amon-Ra St. Brown,DET,WR,StxxAm00
CeeDee Lamb,DAL,WR,LambCe00
Chris Godwin,TAM,WR,GodwCh00
D.K. Metcalf,SEA,WR,MetcDK00
Zay Jones,JAX,WR,JoneZa00
Christian McCaffrey,2TM,RB,McCaCh01
Amari Cooper,CLE,WR,CoopAm00
Tee Higgins,CIN,WR,HiggTe00
Tyler Lockett,SEA,WR,LockTy00
Diontae Johnson,PIT,WR,JohnDi01
Christian Kirk,JAX,WR,KirkCh01
Chris Olave,NOR,WR,OlavCh00
DeVonta Smith,PHI,WR,SmitDe07
Jaylen Waddle,MIA,WR,WaddJa00
Terry McLaurin,WAS,WR,McLaTe00
Adam Thielen,MIN,WR,ThieAd00
A.J. Brown,PHI,WR,BrowAJ00
Mark Andrews,BAL,TE,AndrMa00
T.J. Hockenson,2TM,TE,HockTJ00
Courtland Sutton,DEN,WR,SuttCo00
Brandon Aiyuk,SFO,WR,AiyuBr00
Mike Evans,TAM,WR,EvanMi00
Josh Palmer,LAC,WR,PalmJo00
Rhamondre Stevenson,NWE,RB,StevRh00
Marquise Brown,ARI,WR,BrowMa04
DeAndre Hopkins,ARI,WR,HopkDe00
Alvin Kamara,NOR,RB,KamaAl00
JuJu Smith-Schuster,KAN,WR,SmitJu00
Garrett Wilson,NYJ,WR,WilsGa00
Tyler Higbee,LAR,TE,HigbTy00
Curtis Samuel,WAS,WR,SamuCu00
Ja'Marr Chase,CIN,WR,ChasJa00
Zach Ertz,ARI,TE,ErtzZa00
Pat Freiermuth,PIT,TE,FreiPa00
Jakobi Meyers,NWE,WR,MeyeJa01
Parris Campbell,IND,WR,CampPa00
Hayden Hurst,CIN,TE,HursHa00
D.J. Moore,CAR,WR,MoorD.00
Brandin Cooks,HOU,WR,CookBr00
Deebo Samuel,SFO,WR,SamuDe00
Robert Tonyan,GNB,TE,TonyRo00
Leonard Fournette,TAM,RB,FourLe00
Dallas Goedert,PHI,TE,GoedDa00
Aaron Jones,GNB,RB,JoneAa00
Donovan Peoples-Jones,CLE,WR,PeopDo00
Tyler Boyd,CIN,WR,BoydTy00
Drake London,ATL,WR,LondDr00
Joe Mixon,CIN,RB,MixoJo00
Rondale Moore,ARI,WR,MoorRo02
David Njoku,CLE,TE,NjokDa00
Antonio Gibson,WAS,RB,GibsAn00
Mack Hollins,LVR,WR,HollMa00
Josh Jacobs,LVR,RB,JacoJo01
Allen Lazard,GNB,WR,LazaAl00
Darnell Mooney,CHI,WR,MoonDa00
Chase Claypool,2TM,WR,ClayCh01
DeAndre Carter,LAC,WR,CartDe02
Tyler Conklin,NYJ,TE,ConkTy00
Gerald Everett,LAC,TE,EverGe00
Mike Williams,LAC,WR,WillMi07
Evan Engram,JAX,TE,EngrEv00
George Kittle,SFO,TE,KittGe00
George Pickens,PIT,WR,PickGe00
Saquon Barkley,NYG,RB,BarkSa00
Nico Collins,HOU,WR,CollNi00
Greg Dortch,ARI,WR,DortGr01
Gabriel Davis,BUF,WR,DaviGa01
Noah Fant,SEA,TE,FantNo00
Dawson Knox,BUF,TE,KnoxDa00
Allen Robinson,LAR,WR,RobiAl02
Dalton Schultz,DAL,TE,SchuDa00
Robert Woods,TEN,WR,WoodRo02
Romeo Doubs,GNB,WR,DoubRo00
Juwan Johnson,NOR,TE,JohnJu02
Marvin Jones,JAX,WR,JoneMa02
Devin Singletary,BUF,RB,SingDe00
Marquez Valdes-Scantling,KAN,WR,ValdMa00
Jerry Jeudy,DEN,WR,JeudJe00
Isaiah McKenzie,BUF,WR,McKeIs00
Kalif Raymond,DET,WR,RaymKa00
Olamide Zaccheaus,ATL,WR,ZaccOl01
Devin Duvernay,BAL,WR,DuveDe00
Russell Gage,TAM,WR,GageRu00
Najee Harris,PIT,RB,HarrNa00
Cole Kmet,CHI,TE,KmetCo00
Jerick McKinnon,KAN,RB,McKiJe00
Ben Skowronek,LAR,WR,SkowBe00
Rachaad White,TAM,RB,WhitRa01
Noah Brown,DAL,WR,BrowNo00
Rex Burkhead,HOU,RB,BurkRe00
Michael Carter,NYJ,RB,CartMi03
Will Dissly,SEA,TE,DissWi00
Richie James,NYG,WR,JameRi00
K.J. Osborn,MIN,WR,OsboKJ00
Alec Pierce,IND,WR,PierAl00
Kyle Pitts,ATL,TE,PittKy00
James Conner,ARI,RB,ConnJa00
J.D. McKissic,WAS,RB,McKiJ.00
Dameon Pierce,HOU,RB,PierDa01
Darius Slayton,NYG,WR,SlayDa01
Randall Cobb,GNB,WR,CobbRa00
Dalvin Cook,MIN,RB,CookDa01
Nyheim Hines,2TM,RB,HineNy00
Cade Otton,TAM,TE,OttoCa00
Samaje Perine,CIN,RB,PeriSa00
Josh Reynolds,DET,WR,ReynJo00
Demarcus Robinson,BAL,WR,RobiDe01
Melvin Gordon,DEN,RB,GordMe00
Kylen Granson,IND,TE,GranKy00
Mecole Hardman,KAN,WR,HardMe00
