Player,Pos,id
Derrick Henry,RB,HenrDe00
Saquon Barkley,RB,BarkSa00
Josh Jacobs,RB,JacoJo01
Nick Chubb,RB,ChubNi00
Dameon Pierce,RB,PierDa01
Dalvin Cook,RB,CookDa01
Miles Sanders,RB,SandMi01
Jamaal Williams,RB,WillJa06
Jonathan Taylor,RB,TaylJo02
Najee Harris,RB,HarrNa00
Joe Mixon,RB,MixoJo00
Aaron Jones,RB,JoneAa00
Rhamondre Stevenson,RB,StevRh00
David Montgomery,RB,MontDa01
Christian McCaffrey,RB,McCaCh01
Ezekiel Elliott,RB,ElliEz00
Tony Pollard,RB,PollTo00
Leonard Fournette,RB,FourLe00
Kenneth Walker III,RB,WalkKe00
Travis Etienne,RB,EtieTr00
Alvin Kamara,RB,KamaAl00
Jeff Wilson,RB,WilsJe01
Antonio Gibson,RB,GibsAn00
Austin Ekeler,RB,EkelAu00
Jalen Hurts,QB,HurtJa00
D'Onta Foreman,RB,ForeDO00
Brian Robinson Jr.,RB,RobiBr01
AJ Dillon,RB,DillAJ00
Devin Singletary,RB,SingDe00
Justin Fields,QB,FielJu00
Tyler Allgeier,RB,AllgTy00
James Conner,RB,ConnJa00
Raheem Mostert,RB,MostRa00
Lamar Jackson,QB,JackLa00
Khalil Herbert,RB,HerbKh00
James Robinson,RB,RobiJa00
Michael Carter,RB,CartMi03
Isiah Pacheco,RB,PachIs00
Cordarrelle Patterson,RB,PattCo00
Kareem Hunt,RB,HuntKa00
Melvin Gordon,RB,GordMe00
Latavius Murray,RB,MurrLa00
Kenyan Drake,RB,DrakKe00
Cam Akers,RB,AkerCa00
Damien Harris,RB,HarrDa06
Marcus Mariota,QB,MariMa01
Josh Allen,QB,AlleJo02
Breece Hall,RB,HallBr03
Daniel Jones,QB,JoneDa05
Rachaad White,RB,WhitRa01
Clyde Edwards-Helaire,RB,EdwaCl00
Caleb Huntley,RB,HuntCa02
Eno Benjamin,RB,BenjEn00
Darrell Henderson,RB,HendDa00
Kyler Murray,QB,MurrKy00
Taysom Hill,TE,HillTa00
Rashaad Penny,RB,PennRa00
Mark Ingram,RB,IngrMa01
Samaje Perine,RB,PeriSa00
Geno Smith,QB,SmitGe00
D'Andre Swift,RB,SwifDA00
Joe Burrow,QB,BurrJo01
Jacoby Brissett,QB,BrisJa00
Javonte Williams,RB,WillJa10
James Cook,RB,CookJa01
Chase Edmonds,RB,EdmoCh00
Alexander Mattison,RB,MattAl01
Gus Edwards,RB,EdwaGu00
Deon Jackson,RB,JackDe02
Patrick Mahomes,QB,MahoPa00
Chuba Hubbard,RB,HubbCh01
Justice Hill,RB,HillJu00
Elijah Mitchell,RB,MitcEl00
Trevor Lawrence,QB,LawrTr00
Jerick McKinnon,RB,McKiJe00
Kenneth Gainwell,RB,GainKe00
Jaylen Warren,RB,WarrJa01
Justin Herbert,QB,HerbJu00
Sony Michel,RB,MichSo00
J.K. Dobbins,RB,DobbJK00
Kenny Pickett,QB,PickKe00
Russell Wilson,QB,WilsRu00
Matt Breida,RB,BreiMa00
Deebo Samuel,WR,SamuDe00
Boston Scott,RB,ScotBo02
Justin Jackson,RB,JackJu01
Curtis Samuel,WR,SamuCu00
Mac Jones,QB,JoneMa05
Ryan Tannehill,QB,TannRy00
Jamycal Hasty,RB,HastJa02
Joshua Kelley,RB,KellJo01
Rex Burkhead,RB,BurkRe00
Trestan Ebner,RB,EbneTr00
Zach Wilson,QB,WilsZa00
Andy Dalton,QB,DaltAn00
Jimmy Garoppolo,QB,GaroJi00
Craig Reynolds,RB,ReynCr00
Kirk Cousins,QB,CousKi00
J.D. McKissic,RB,McKiJ.00
Jared Goff,QB,GoffJa00
Taylor Heinicke,QB,HeinTa00
Dontrell Hilliard,RB,HillDo00
Keaontay Ingram,RB,IngrKe01
Zack Moss,RB,MossZa00
Matt Ryan,QB,RyanMa00
Darrel Williams,RB,WillDa10
Malik Davis,RB,DaviMa02
Nyheim Hines,RB,HineNy00
Tom Brady,QB,BradTo00
Dak Prescott,QB,PresDa01
Carson Wentz,QB,WentCa00
Kyren Williams,RB,WillKy02
Isaiah Spiller,RB,SpilIs00
Tua Tagovailoa,QB,TagoTu00
Malik Willis,QB,WillMa12
Derek Carr,QB,CarrDe02
Davis Mills,QB,MillDa02
Bryce Perkins,QB,PerkBr02
Aaron Rodgers,QB,RodgAa00
Tyrion Davis-Price,RB,DaviTy03
Trey Lance,QB,LancTr00
Baker Mayfield,QB,MayfBa00
Raheem Blackshear,RB,BlacRa00
Mike Boone,RB,BoonMi00
Phillip Lindsay,RB,LindPh00
Malcolm Brown,RB,BrowMa03
DeeJay Dallas,RB,DallDe00
Ty Johnson,RB,JohnTy02
Zonovan Knight,RB,KnigZo00
Avery Williams,RB,WillAv02
Matthew Stafford,QB,StafMa00
Mitchell Trubisky,QB,TrubMi00
Tevin Coleman,RB,ColeTe01
Benny Snell Jr.,RB,SnelBe00
Sam Ehlinger,QB,EhliSa00
Dwayne Washington,RB,WashDw00
Devin Duvernay,WR,DuveDe00
Myles Gaskin,RB,GaskMy00
Hassan Haskins,RB,HaskHa00
Jordan Mason,RB,MasoJo00
J.J. Taylor,RB,TaylJJ01
Skylar Thompson,QB,ThomSk00
Zamir White,RB,WhitZa01
Jonathan Williams,RB,WillJo07
Bailey Zappe,QB,ZappBa00
Braxton Berrios,WR,BerrBr00
Gary Brightwell,RB,BrigGa00
Spencer Brown,RB,BrowSp01
Chase Claypool,WR,ClayCh01
Darrynton Evans,RB,EvanDa02
Travis Homer,RB,HomeTr00
Cooper Kupp,WR,KuppCo00
Brandon Powell,WR,PoweBr00
Ronnie Rivers,RB,RiveRo01
Cooper Rush,QB,RushCo00
Brandon Bolden,RB,BoldBr00
Mike Davis,RB,DaviMi01
Ke'Shawn Vaughn,RB,VaugKe00
CeeDee Lamb,WR,LambCe00
Colt McCoy,QB,McCoCo00
Isaiah McKenzie,WR,McKeIs00
D.J. Moore,WR,MoorD.00
Tyreek Hill,WR,HillTy00
Diontae Johnson,WR,JohnDi01
Anthony McFarland Jr.,RB,McFaAn00
Terry McLaurin,WR,McLaTe00
Rondale Moore,WR,MoorRo02
Laviska Shenault Jr.,WR,ShenLa00
Steven Sims,WR,SimsSt00
P.J. Walker,QB,WalkPh00
Jordan Wilkins,RB,WilkJo01
Jamal Agnew,WR,AgneJa00
Alec Ingold,FB,IngoAl01
Velus Jones Jr.,WR,JoneVe00
Case Keenum,QB,KeenCa00
Dare Ogunbowale,RB,OgunDa00
Brock Purdy,QB,PurdBr00
Patrick Ricard,FB,RicaPa00
Amon-Ra St. Brown,WR,StxxAm00
Equanimeous St. Brown,WR,St.BEq00
Jameis Winston,QB,WinsJa00
Salvon Ahmed,RB,AhmeSa01
Kyle Allen,QB,AlleKy00
Kendrick Bourne,WR,BourKe00
Michael Burton,FB,BurtMi00
Ja'Marr Chase,WR,ChasJa00
Mecole Hardman,WR,HardMe00
Zander Horvath,FB,HorvZa00
D'Ernest Johnson,RB,JohnDE04
Julio Jones,WR,JoneJu02
Ronald Jones II,RB,JoneRo01
