Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,id
Tom Brady*,44,QB,17,17,13-4-0,485,719,67.5,5316,43,6.0,12,1.7,7.4,7.8,11.0,312.7,102.1,68.1,22,144,3.0,6.98,7.41,BradTo00
Justin Herbert*,23,QB,17,17,9-8-0,443,672,65.9,5014,38,5.7,15,2.2,7.5,7.6,11.3,294.9,97.7,65.6,31,214,4.4,6.83,6.95,HerbJu00
Matthew Stafford,33,QB,17,17,12-5-0,404,601,67.2,4886,41,6.8,17,2.8,8.1,8.2,12.1,287.4,102.9,63.8,30,243,4.8,7.36,7.45,StafMa00
Patrick Mahomes*,26,QB,17,17,12-5-0,436,658,66.3,4839,37,5.6,13,2.0,7.4,7.6,11.1,284.6,98.5,62.2,28,146,4.1,6.84,7.07,MahoPa00
Derek Carr,30,QB,17,17,10-7-0,428,626,68.4,4804,23,3.7,14,2.2,7.7,7.4,11.2,282.6,94.0,52.4,40,241,6.0,6.85,6.60,CarrDe02
Joe Burrow,25,QB,16,16,10-6-0,366,520,70.4,4611,34,6.5,14,2.7,8.9,9.0,12.6,288.2,108.3,54.3,51,370,8.9,7.43,7.51,BurrJo01
Dak Prescott,28,QB,16,16,11-5-0,410,596,68.8,4449,37,6.2,10,1.7,7.5,8.0,10.9,278.1,104.2,54.6,30,144,4.8,6.88,7.34,PresDa01
Josh Allen,25,QB,17,17,11-6-0,409,646,63.3,4407,36,5.6,15,2.3,6.8,6.9,10.8,259.2,92.2,60.7,26,164,3.9,6.31,6.38,AlleJo02
Kirk Cousins*,33,QB,16,16,8-8-0,372,561,66.3,4221,33,5.9,7,1.2,7.5,8.1,11.3,263.8,103.1,52.3,28,197,4.8,6.83,7.42,CousKi00
Aaron Rodgers*+,38,QB,16,16,13-3-0,366,531,68.9,4115,37,7.0,4,0.8,7.7,8.8,11.2,257.2,111.9,69.1,30,188,5.3,7.00,8.00,RodgAa00
Matt Ryan,36,QB,17,17,7-10-0,375,560,67.0,3968,20,3.6,12,2.1,7.1,6.8,10.6,233.4,90.4,46.1,40,274,6.7,6.16,5.92,RyanMa00
Jimmy Garoppolo,30,QB,15,15,9-6-0,301,441,68.3,3810,20,4.5,12,2.7,8.6,8.3,12.7,254.0,98.7,53.3,29,201,6.2,7.68,7.38,GaroJi00
Mac Jones*,23,QB,17,17,10-7-0,352,521,67.6,3801,22,4.2,13,2.5,7.3,7.0,10.8,223.6,92.5,50.9,28,241,5.1,6.48,6.22,JoneMa05
Kyler Murray*,24,QB,14,14,9-5-0,333,481,69.2,3787,24,5.0,10,2.1,7.9,7.9,11.4,270.5,100.6,57.3,31,286,6.1,6.84,6.90,MurrKy00
Ben Roethlisberger,39,QB,16,16,9-7-0,390,605,64.5,3740,22,3.6,10,1.7,6.2,6.2,9.6,233.8,86.8,35.6,38,239,5.9,5.44,5.43,RoetBe00
Ryan Tannehill,33,QB,17,17,12-5-0,357,531,67.2,3734,21,4.0,14,2.6,7.0,6.6,10.5,219.6,89.6,55.9,47,327,8.1,5.89,5.53,TannRy00
Trevor Lawrence,22,QB,17,17,3-14-0,359,602,59.6,3641,12,2.0,17,2.8,6.0,5.2,10.1,214.2,71.9,33.5,32,238,5.0,5.37,4.54,LawrTr00
Carson Wentz,29,QB,17,17,9-8-0,322,516,62.4,3563,27,5.2,7,1.4,6.9,7.3,11.1,209.6,94.6,54.7,32,227,5.8,6.09,6.50,WentCa00
Taylor Heinicke,28,QB,16,15,7-8-0,321,494,65.0,3419,20,4.0,15,3.0,6.9,6.4,10.7,213.7,85.9,39.9,38,278,7.1,5.90,5.39,HeinTa00
Jared Goff,27,QB,14,14,3-10-1,332,494,67.2,3245,19,3.8,8,1.6,6.6,6.6,9.8,231.8,91.5,39.5,35,280,6.6,5.60,5.64,GoffJa00
Jalen Hurts,23,QB,15,15,8-7-0,265,432,61.3,3144,16,3.7,9,2.1,7.3,7.1,11.9,209.6,87.2,48.5,26,150,5.7,6.54,6.35,HurtJa00
Russell Wilson*,33,QB,14,14,6-8-0,259,400,64.8,3113,25,6.3,6,1.5,7.8,8.4,12.0,222.4,103.1,54.7,33,266,7.6,6.58,7.11,WilsRu00
Teddy Bridgewater,29,QB,14,14,7-7-0,285,426,66.9,3052,18,4.2,7,1.6,7.2,7.3,10.7,218.0,94.9,47.4,31,211,6.8,6.22,6.32,BridTe00
Baker Mayfield,26,QB,14,14,6-8-0,253,418,60.5,3010,17,4.1,13,3.1,7.2,6.6,11.9,215.0,83.1,35.1,43,269,9.3,5.95,5.41,MayfBa00
Lamar Jackson*,24,QB,12,12,7-5-0,246,382,64.4,2882,16,4.2,13,3.4,7.5,6.9,11.7,240.2,87.0,50.7,38,190,9.0,6.41,5.78,JackLa00
Davis Mills,23,QB,13,11,2-9-0,263,394,66.8,2664,16,4.1,10,2.5,6.8,6.4,10.1,204.9,88.8,35.5,31,206,7.3,5.78,5.48,MillDa02
Tua Tagovailoa,23,QB,13,12,7-5-0,263,388,67.8,2653,16,4.1,10,2.6,6.8,6.5,10.1,204.1,90.1,49.7,20,152,4.9,6.13,5.81,TagoTu00
Sam Darnold,24,QB,12,11,4-7-0,243,406,59.9,2527,9,2.2,13,3.2,6.2,5.2,10.4,210.6,71.9,33.2,35,204,7.9,5.27,4.35,DarnSa00
Daniel Jones,24,QB,11,11,4-7-0,232,361,64.3,2428,10,2.8,7,1.9,6.7,6.4,10.5,220.7,84.8,41.5,22,160,5.7,5.92,5.62,JoneDa05
Zach Wilson,22,QB,13,13,3-10-0,213,383,55.6,2334,9,2.3,11,2.9,6.1,5.3,11.0,179.5,69.7,28.2,44,370,10.3,4.60,3.86,WilsZa00
Justin Fields,22,QB,12,10,2-8-0,159,270,58.9,1870,7,2.6,10,3.7,6.9,5.8,11.8,155.8,73.2,26.4,36,264,11.8,5.25,4.24,FielJu00
Andy Dalton,34,QB,8,6,3-3-0,149,236,63.1,1515,8,3.4,9,3.8,6.4,5.4,10.2,189.4,76.9,33.6,18,143,7.1,5.40,4.44,DaltAn00
Jacoby Brissett,29,QB,11,5,2-3-0,141,225,62.7,1283,5,2.2,4,1.8,5.7,5.3,9.1,116.6,78.1,48.2,19,132,7.8,4.72,4.39,BrisJa00
Jameis Winston,27,QB,7,7,5-2-0,95,161,59.0,1170,14,8.7,3,1.9,7.3,8.2,12.3,167.1,102.8,64.4,11,69,6.4,6.40,7.24,WinsJa00
Trevor Siemian,30,QB,6,4,0-4-0,108,188,57.4,1154,11,5.9,3,1.6,6.1,6.6,10.7,192.3,88.4,35.5,9,64,4.6,5.53,5.96,SiemTr00
Tyler Huntley,23,QB,7,4,1-3-0,122,188,64.9,1081,3,1.6,4,2.1,5.8,5.1,8.9,154.4,76.6,49.0,18,107,8.7,4.73,4.15,HuntTy01
Taysom Hill,31,QB,12,9,4-1-0,78,134,58.2,978,4,3.0,5,3.7,7.3,6.2,12.5,81.5,75.4,42.5,9,64,6.3,6.39,5.38,HillTa00
Tyrod Taylor,32,QB,6,6,2-4-0,91,150,60.7,966,5,3.3,5,3.3,6.4,5.6,10.6,161.0,76.7,40.4,13,119,8.0,5.20,4.43,TaylTy00
