Rk,Player,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,id
1,Calvin Johnson*+,27,WR,16,16,204,122,59.8%,1964,16.1,5,53,9.6,7.6,122.8,3,JohnCa00
2,Brandon Marshall*+,28,WR,16,16,192,118,61.5%,1508,12.8,11,56,7.9,7.4,94.3,2,MarsBr00
3,Wes Welker*,31,WR,16,12,174,118,67.8%,1354,11.5,6,59,7.8,7.4,84.6,3,WelkWe00
4,Andre Johnson*,31,WR,16,16,162,112,69.1%,1598,14.3,4,60,9.9,7.0,99.9,0,JohnAn02
5,Jason Witten*,30,TE,16,16,147,110,74.8%,1039,9.4,3,36,7.1,6.9,64.9,0,WittJa00
6,Reggie Wayne*,34,WR,16,15,195,106,54.4%,1355,12.8,5,33,6.9,6.6,84.7,1,WaynRe00
7,A.J. Green*,24,WR,16,16,164,97,59.1%,1350,13.9,11,73,8.2,6.1,84.4,2,GreeA.00
8,Demaryius Thomas*,25,WR,16,16,143,94,65.7%,1434,15.3,10,71,10.0,5.9,89.6,3,ThomDe03
9,Tony Gonzalez*+,36,TE,16,16,124,93,75.0%,930,10.0,8,25,7.5,5.8,58.1,0,GonzTo00
10,Dez Bryant,24,WR,16,14,138,92,66.7%,1382,15.0,12,85,10.0,5.8,86.4,5,BryaDe01
11,Roddy White,31,WR,16,15,142,92,64.8%,1351,14.7,7,59,9.5,5.8,84.4,1,WhitRo00
12,Victor Cruz*,26,WR,16,16,143,86,60.1%,1092,12.7,10,80,7.6,5.4,68.3,0,CruzVi00
13,Michael Crabtree,25,WR,16,16,127,85,66.9%,1105,13.0,9,49,8.7,5.3,69.1,0,CrabMi00
14,Eric Decker,25,WR,16,15,122,85,69.7%,1064,12.5,13,55,8.7,5.3,66.5,0,DeckEr00
15,Jimmy Graham,26,TE,15,9,135,85,63.0%,982,11.6,9,46,7.3,5.7,65.5,1,GrahJi00
16,Marques Colston,29,WR,16,13,130,83,63.8%,1154,13.9,10,60,8.9,5.2,72.1,4,ColsMa00
17,Randall Cobb,22,WR,15,8,104,80,76.9%,954,11.9,8,39,9.2,5.3,63.6,4,CobbRa00
18,Steve Johnson,26,WR,16,16,148,79,53.4%,1046,13.2,6,63,7.1,4.9,65.4,1,JohnSt00
19,Julio Jones*,23,WR,16,15,128,79,61.7%,1198,15.2,10,80,9.4,4.9,74.9,0,JoneJu02
20,Brandon Myers,27,TE,16,16,105,79,75.2%,806,10.2,4,29,7.7,4.9,50.4,0,MyerBr00
21,Darren Sproles,29,RB,13,6,104,75,72.1%,667,8.9,7,44,6.4,5.8,51.3,0,SproDa00
22,Brian Hartline,26,WR,16,15,131,74,56.5%,1083,14.6,1,80,8.3,4.6,67.7,1,HartBr00
23,Brandon Lloyd,31,WR,16,15,131,74,56.5%,911,12.3,4,53,7.0,4.6,56.9,0,LloyBr00
24,Steve Smith Sr.,33,WR,16,16,137,73,53.3%,1174,16.1,4,66,8.6,4.6,73.4,1,SmitSt01
25,Vincent Jackson*,29,WR,16,16,147,72,49.0%,1384,19.2,8,95,9.4,4.5,86.5,0,JackVi00
26,Larry Fitzgerald*,29,WR,16,16,156,71,45.5%,798,11.2,4,37,5.1,4.4,49.9,0,FitzLa00
27,Heath Miller*,30,TE,15,15,101,71,70.3%,816,11.5,8,43,8.1,4.7,54.4,0,MillHe00
28,Jeremy Maclin,24,WR,15,15,122,69,56.6%,857,12.4,7,70,7.0,4.6,57.1,1,MaclJe00
29,Greg Olsen,27,TE,16,16,104,69,66.3%,843,12.2,5,47,8.1,4.3,52.7,0,OlseGr00
30,Miles Austin,28,WR,16,15,119,66,55.5%,943,14.3,6,49,7.9,4.1,58.9,1,AustMi00
31,Antonio Brown,24,WR,13,10,106,66,62.3%,787,11.9,5,60,7.4,5.1,60.5,4,BrowAn04
32,Anquan Boldin,32,WR,15,15,112,65,58.0%,921,14.2,4,43,8.2,4.3,61.4,0,BoldAn00
33,Lance Moore,29,WR,15,7,104,65,62.5%,1041,16.0,6,51,10.0,4.3,69.4,0,MoorLa00
34,Justin Blackmon,22,WR,16,14,132,64,48.5%,865,13.5,5,81,6.6,4.0,54.1,1,BlacJu00
35,Jermaine Gresham*,24,TE,16,15,94,64,68.1%,737,11.5,5,55,7.8,4.0,46.1,2,GresJe00
36,James Jones,28,WR,16,16,98,64,65.3%,784,12.3,14,49,8.0,4.0,49.0,0,JoneJa04
37,Andre Roberts,24,WR,15,15,114,64,56.1%,759,11.9,5,46,6.7,4.3,50.6,1,RobeAn00
38,Mike Wallace,26,WR,15,14,119,64,53.8%,836,13.1,8,82,7.0,4.3,55.7,2,WallMi00
39,Kendall Wright,23,WR,15,5,104,64,61.5%,626,9.8,4,38,6.0,4.3,41.7,1,WrigKe01
40,Danny Amendola,27,WR,11,8,101,63,62.4%,666,10.6,3,56,6.6,5.7,60.5,3,AmenDa00
41,Mike Williams,25,WR,16,16,126,63,50.0%,996,15.8,9,65,7.9,3.9,62.3,0,WillMi04
42,Owen Daniels*,30,TE,15,14,104,62,59.6%,716,11.5,6,39,6.9,4.1,47.7,0,DaniOw00
43,Percy Harvin,24,WR,9,8,85,62,72.9%,677,10.9,3,45,8.0,6.9,75.2,2,HarvPe00
44,Davone Bess,27,WR,13,13,104,61,58.7%,778,12.8,1,39,7.5,4.7,59.8,1,BessDa00
45,Jermichael Finley,25,TE,16,14,87,61,70.1%,667,10.9,2,40,7.7,3.8,41.7,1,FinlJe00
